LSOA	value
E01001325	0
E01001327	0
E01001328	0
E01001329	0
E01001331	0
E01001258	0
E01001262	0
E01001263	0
E01001264	0
E01032743	0
E01032744	1
E01001276	0
E01001277	0
E01001278	0
E01001280	0
E01001218	0
E01001260	0
E01001261	1
E01001268	0
E01001209	0
E01001211	0
E01001279	0
E01001281	0
E01001217	0
E01001259	0
E01001291	0
E01001292	0
E01001293	0
E01001196	0
E01001238	0
E01001239	0
E01001246	0
E01001247	1
E01001210	0
E01001282	0
E01001283	0
E01001285	0
E01001286	0
E01001287	0
E01001294	0
E01001295	0
E01001296	0
E01001297	0
E01001298	0
E01001204	0
E01001205	0
E01001206	0
E01001207	0
E01001208	0
E01001212	0
E01001222	0
E01001224	0
E01001226	0
E01001227	0
E01001228	0
E01001221	2
E01001223	0
E01001225	1
E01001235	0
E01001236	0
E01001273	0
E01001274	0
E01001275	0
E01001195	0
E01001197	0
E01001198	0
E01001199	0
E01001284	0
E01001288	0
E01001289	0
E01001290	0
E01001213	0
E01001214	0
E01001215	0
E01001216	0
E01001361	1
E01001240	0
E01001241	0
E01001242	0
E01001243	0
E01001244	0
E01001245	0
E01001200	0
E01001201	0
E01001202	1
E01001203	0
E01001351	1
E01001359	0
E01001360	0
E01001362	0
E01001363	0
E01001364	0
E01001365	0
E01001231	0
E01001234	0
E01001350	0
E01001352	0
E01001354	0
E01001249	1
E01001250	0
E01001255	0
E01001383	0
E01001388	0
E01001389	0
E01001219	0
E01001220	0
E01001334	0
E01001337	0
E01001338	0
E01001339	0
E01001340	0
E01001251	0
E01001252	0
E01001253	0
E01001254	0
E01001229	0
E01001230	0
E01001232	0
E01001233	0
E01001237	0
E01001386	0
E01001303	0
E01001382	0
E01001384	0
E01001385	0
E01001387	0
E01001353	0
E01001355	0
E01001356	0
E01001357	0
E01001358	0
E01001375	0
E01001377	0
E01001379	0
E01001381	0
E01001248	0
E01001299	0
E01001305	0
E01001306	0
E01001366	0
E01001367	0
E01001368	0
E01001370	0
E01001371	0
E01001372	0
E01001373	0
E01001333	0
E01001335	0
E01001336	0
E01001369	0
E01001300	0
E01001301	0
E01001302	0
E01001304	0
E01001374	0
E01001376	0
E01001380	0
E01032572	0
E01030330	0
E01001444	0
E01001446	0
E01001546	0
E01001552	0
E01001442	0
E01001545	0
E01001547	0
E01001548	0
E01001551	0
E01001445	0
E01001447	0
E01001448	0
E01001449	0
E01033148	0
E01033150	0
E01001408	0
E01001411	0
E01001412	0
E01001413	0
E01001414	0
E01001407	0
E01001409	0
E01001410	0
E01001516	0
E01001537	0
E01001439	0
E01001441	0
E01001517	0
E01001549	0
E01001550	0
E01001433	0
E01001434	0
E01001435	0
E01001436	0
E01001438	0
E01001469	0
E01001536	1
E01001540	0
E01001541	0
E01001542	0
E01001538	0
E01001539	0
E01001543	0
E01001544	0
E01001457	0
E01001468	0
E01001471	0
E01001472	0
E01001474	0
E01001415	0
E01001417	0
E01001418	0
E01001422	0
E01001440	0
E01001504	0
E01001505	0
E01001507	0
E01001508	0
E01001513	0
E01001416	0
E01001470	0
E01001473	0
E01001475	0
E01001437	1
E01001506	0
E01001509	0
E01001510	0
E01001405	0
E01001406	0
E01001450	0
E01001512	0
E01001515	0
E01001401	0
E01001478	0
E01001484	0
E01001511	0
E01001514	0
E01001518	0
E01001451	0
E01001452	0
E01001453	0
E01001454	0
E01001476	0
E01001477	0
E01001481	0
E01001502	0
E01001503	0
E01001520	0
E01001522	0
E01001523	0
E01001524	0
E01001419	0
E01001420	0
E01001421	0
E01001519	1
E01001525	0
E01001398	0
E01001399	0
E01001400	0
E01001402	0
E01001403	0
E01001455	0
E01001456	0
E01001564	0
E01001567	0
E01001568	0
E01001569	0
E01001479	0
E01001482	0
E01001487	0
E01001489	0
E01001491	0
E01001459	0
E01001460	0
E01001462	0
E01001480	0
E01001488	0
E01001483	0
E01001485	0
E01001486	0
E01001492	0
E01033146	0
E01033151	0
E01001404	0
E01001493	0
E01001494	0
E01001496	0
E01001570	0
E01001423	0
E01001425	0
E01001428	0
E01001461	0
E01001464	0
E01001521	0
E01001531	0
E01001532	0
E01001533	0
E01001535	0
E01001495	0
E01001498	0
E01001563	0
E01001565	0
E01001566	0
E01001424	0
E01001426	0
E01001427	0
E01001429	2
E01001430	0
E01001463	0
E01001465	0
E01001466	0
E01001467	0
E01001497	0
E01001499	0
E01001392	0
E01001528	0
E01001529	0
E01001530	0
E01001534	0
E01001431	0
E01001432	0
E01001555	0
E01001557	0
E01001558	0
E01001559	2
E01001394	0
E01001395	0
E01001397	0
E01001500	0
E01001556	0
E01001560	0
E01001390	0
E01001391	0
E01001393	0
E01001396	0
E01001501	1
E01001527	0
E01001458	0
E01001553	0
E01001554	0
E01001562	0
E01032574	0
E01021800	0
E01021806	0
E01021789	0
E01021781	0
E01021749	0
E01021752	0
E01021764	0
E01021766	0
E01030389	0
E01030393	0
E01022814	0
E01026634	0
E01001690	0
E01001692	0
E01001693	0
E01001694	0
E01001687	0
E01001688	0
E01033739	0
E01033740	0
E01033741	0
E01033743	0
E01033745	0
E01001575	0
E01001576	0
E01001577	0
E01001578	0
E01001579	0
E01001709	0
E01001711	0
E01001712	0
E01033731	0
E01033734	0
E01033735	1
E01033736	0
E01033737	1
E01001705	0
E01001706	0
E01001708	0
E01001710	0
E01001713	0
E01001672	0
E01001673	0
E01001674	0
E01001675	0
E01001677	0
E01001631	0
E01001632	0
E01001635	0
E01001636	0
E01033742	0
E01033744	0
E01001571	0
E01001572	0
E01001573	0
E01001574	0
E01001629	0
E01001633	0
E01001634	0
E01001637	0
E01001695	0
E01001696	1
E01001697	0
E01001700	0
E01001703	0
E01001704	0
E01001588	0
E01001589	0
E01001591	0
E01001595	0
E01001590	0
E01001592	0
E01001593	0
E01001594	0
E01001698	0
E01001699	0
E01001701	0
E01001702	0
E01001581	0
E01001585	0
E01001586	0
E01001587	0
E01001678	0
E01001683	0
E01001684	0
E01001685	0
E01001646	0
E01001650	0
E01001651	0
E01001652	0
E01001679	0
E01001680	0
E01001681	0
E01001682	0
E01001686	0
E01001580	0
E01001582	0
E01001583	0
E01001584	0
E01001645	0
E01001647	0
E01001648	0
E01001649	0
E01001605	0
E01001606	0
E01001610	0
E01001611	0
E01001620	0
E01001621	0
E01001623	0
E01001624	0
